,price,city_name,salon,nb_rooms,nb_baths,surface_area,Ascenseur,Balcon,Chauffage,Climatisation,Concierge,Cuisine Équipée,Duplex,Meublé,Parking,Sécurité,Terrasse
0,2000000.0,Casablanca,1.0,2.0,2.0,168.0,1,1,0,0,0,0,0,0,1,0,1
1,1195000.0,Casablanca,1.0,2.0,2.0,98.0,1,1,1,1,0,1,0,0,1,0,0
2,1350000.0,Dar Bouazza,1.0,2.0,2.0,81.0,1,1,1,1,1,1,1,0,1,1,1
3,900000.0,Casablanca,1.0,1.0,1.0,56.0,1,0,1,1,0,1,0,1,1,1,1
6,760000.0,Marrakech,1.0,3.0,3.0,98.0,1,1,0,0,1,1,0,0,1,1,0
7,790000.0,Casablanca,1.0,3.0,2.0,73.0,0,0,0,0,0,1,0,0,0,0,0
8,780000.0,Asilah,1.0,2.0,1.0,72.0,0,1,0,0,0,1,0,1,0,1,0
10,755000.0,Bouskoura,1.0,2.0,2.0,76.0,1,1,0,0,1,1,0,0,1,1,1
11,790000.0,Kénitra,1.0,3.0,2.0,105.0,0,0,0,0,0,0,0,0,0,1,0
12,1900000.0,Casablanca,1.0,2.0,2.0,105.0,1,0,1,1,1,1,0,0,0,1,1
14,1350000.0,Casablanca,2.0,2.0,1.0,140.0,1,1,0,0,1,0,0,0,0,0,1
15,1360000.0,Marrakech,1.0,2.0,2.0,113.0,1,1,0,0,0,0,0,0,1,0,1
16,800000.0,Marrakech,1.0,3.0,2.0,110.0,0,0,0,0,0,0,0,0,0,0,0
17,350000.0,Mohammedia,1.0,2.0,1.0,60.0,0,1,0,0,0,0,0,0,0,0,0
18,890000.0,Marrakech,1.0,2.0,2.0,105.0,1,1,0,0,0,0,0,0,1,0,0
19,690000.0,Casablanca,1.0,2.0,1.0,70.0,1,0,0,1,1,0,0,0,1,0,0
20,1356000.0,Casablanca,1.0,3.0,2.0,113.0,0,0,0,0,0,0,0,0,0,0,0
21,1600000.0,Dar Bouazza,1.0,2.0,2.0,98.0,0,1,1,1,1,1,0,0,1,1,1
22,160000.0,Rabat,1.0,3.0,1.0,119.0,0,0,0,0,0,0,0,0,0,0,0
24,1250000.0,Kénitra,1.0,2.0,3.0,113.0,1,1,0,1,1,1,0,0,1,1,1
25,890000.0,Agadir,1.0,2.0,2.0,110.0,1,1,0,1,0,1,0,0,1,0,0
26,1200000.0,Casablanca,1.0,2.0,2.0,92.0,1,1,0,0,0,0,0,0,1,0,1
27,850000.0,Casablanca,1.0,1.0,1.0,105.0,1,1,0,0,0,0,0,0,0,0,1
28,910000.0,Casablanca,1.0,3.0,2.0,91.0,1,0,0,0,0,1,0,0,1,1,1
29,769500.0,Marrakech,1.0,2.0,1.0,81.0,1,0,0,0,0,0,0,0,1,1,0
30,890000.0,Casablanca,1.0,2.0,2.0,64.0,1,0,0,0,1,1,0,0,1,0,1
31,675000.0,Tamesna,1.0,3.0,2.0,88.0,1,1,0,0,0,1,0,0,1,1,0
32,750000.0,Casablanca,1.0,3.0,2.0,69.0,1,1,0,0,0,1,0,0,1,1,0
33,1470000.0,Mohammedia,1.0,2.0,1.0,95.0,0,0,0,0,0,0,0,0,0,0,0
34,1167000.0,Casablanca,1.0,2.0,2.0,82.0,1,1,1,1,1,1,0,0,1,1,1
36,1090000.0,Salé,1.0,2.0,2.0,95.0,1,1,0,1,1,1,0,0,1,1,0
37,620000.0,Had Soualem,1.0,3.0,2.0,142.0,0,1,0,0,0,1,0,0,0,0,1
38,880000.0,Casablanca,1.0,3.0,2.0,88.0,1,1,0,0,0,1,0,0,1,0,1
39,890000.0,Temara,1.0,2.0,2.0,43.0,0,1,0,0,1,1,0,0,1,1,0
40,1200000.0,Marrakech,1.0,2.0,1.0,89.0,1,0,0,0,0,0,0,0,0,0,0
41,590000.0,Bouskoura,1.0,2.0,2.0,59.0,1,1,0,0,1,1,0,0,1,1,1
42,1099999.0,Benslimane,2.0,2.0,2.0,108.0,1,0,0,0,0,1,0,0,1,1,0
43,1050000.0,Marrakech,1.0,1.0,1.0,43.0,1,1,0,1,1,1,0,0,0,1,0
44,1000000.0,Casablanca,1.0,2.0,2.0,84.0,1,1,1,1,1,1,0,0,1,1,0
45,1300000.0,Agadir,1.0,2.0,2.0,83.0,0,0,0,0,0,0,0,0,0,0,0
46,1300000.0,Casablanca,1.0,4.0,2.0,106.0,1,0,0,1,1,1,0,0,1,1,1
47,540000.0,Temara,1.0,2.0,1.0,60.0,0,0,0,0,0,0,0,0,0,0,0
48,620000.0,Had Soualem,1.0,3.0,2.0,120.0,0,1,0,0,0,1,0,0,0,0,1
49,890000.0,Tanger,1.0,2.0,2.0,67.0,1,1,1,1,1,1,0,0,1,1,1
50,890000.0,Casablanca,1.0,2.0,1.0,76.0,1,1,0,0,0,0,0,0,1,0,1
51,890000.0,Bouskoura,1.0,2.0,2.0,54.0,0,0,0,1,0,1,0,0,0,1,0
52,760000.0,Casablanca,1.0,2.0,2.0,76.0,1,1,0,0,1,1,0,0,1,1,1
53,769500.0,Marrakech,1.0,2.0,1.0,81.0,1,0,0,0,1,0,0,0,1,1,0
54,11000.0,Casablanca,1.0,2.0,2.0,85.0,1,1,1,1,1,1,0,0,1,1,1
55,740000.0,Casablanca,2.0,2.0,2.0,78.0,0,1,0,0,1,1,0,0,0,1,1
56,1600000.0,Rabat,1.0,3.0,2.0,110.0,1,1,0,0,0,0,0,0,1,0,0
57,769500.0,Marrakech,1.0,2.0,1.0,81.0,1,0,0,0,0,0,0,0,1,1,0
58,17500.0,Casablanca,1.0,2.0,2.0,75.0,1,1,1,1,1,1,0,0,1,1,1
59,769500.0,Marrakech,1.0,2.0,1.0,81.0,1,0,0,0,0,0,0,0,1,1,0
60,890000.0,Agadir,1.0,2.0,2.0,78.0,0,0,0,0,0,0,0,0,0,0,0
61,890000.0,Agadir,1.0,2.0,2.0,95.0,0,1,0,1,0,1,0,0,0,0,0
62,700000.0,Kénitra,2.0,3.0,3.0,104.0,1,1,0,1,1,1,0,0,1,1,0
63,1150000.0,Casablanca,1.0,2.0,2.0,80.0,1,0,0,0,0,0,0,0,0,0,0
64,809000.0,Casablanca,1.0,1.0,1.0,44.0,0,0,0,0,0,0,0,0,0,0,0
66,890000.0,Bouskoura,1.0,2.0,2.0,54.0,0,0,0,0,0,0,0,0,0,0,0
67,750000.0,Tanger,1.0,2.0,1.0,86.0,0,1,0,0,0,0,0,0,0,0,1
68,1155600.0,Bouskoura,1.0,3.0,2.0,107.0,1,1,0,1,0,1,0,0,1,0,1
69,770000.0,Tanger,1.0,2.0,1.0,69.0,1,1,0,0,0,0,0,0,0,0,1
71,890000.0,Agadir,1.0,2.0,2.0,107.0,0,0,0,0,0,0,0,0,0,0,0
72,1390000.0,Casablanca,2.0,2.0,2.0,128.0,1,1,0,1,1,1,0,0,1,0,0
73,890000.0,Casablanca,2.0,2.0,2.0,105.0,1,0,0,0,1,1,0,0,1,1,0
